date,strategy_cum_return,benchmark_cum_return
2025-11-21,-0.07179011056951301,0.0009454289416348516
2025-11-24,-0.08560976420858957,-0.0059335874252457455
2025-11-25,-0.08693754698613909,-0.015279581403278675
2025-11-26,-0.08436152065065183,-0.004941777984450946
2025-11-27,-0.08432600175453808,-0.006438265240618635
2025-11-28,-0.09226863996874923,-0.004665727477907167
2025-12-01,-0.08908802600289545,-0.0008219704141880779
2025-12-02,-0.08209400268640787,-0.011596575247383667
2025-12-03,-0.0854519967727918,-0.02192201781699632
2025-12-04,-0.09622583991004341,-0.028705369060891606
2025-12-05,-0.11185383053670939,-0.029400744443866533
2025-12-08,-0.10852064999993383,-0.025497649938462708
2025-12-09,-0.11657183336275623,-0.02396352806425861
2025-12-10,-0.11055467505924088,-0.03525520750675715
2025-12-11,-0.10713046386112524,-0.030130878303322062
2025-12-12,-0.09594085759427629,-0.02904522739981341
2025-12-15,-0.11030503221258048,-0.04317164921650185
2025-12-16,-0.10359067215451756,-0.042005471656698434
2025-12-17,-0.10417749079247984,-0.04070412419439162
2025-12-18,-0.08515927645155896,-0.030928172629325568
2025-12-19,-0.0790062571940926,-0.01765178614230878
2025-12-22,-0.08384576091098794,-0.013001105358889875
2025-12-23,-0.09470207417325438,-0.008074879765253451
2025-12-24,-0.10156068018290731,-0.015906894447108466
2025-12-25,-0.10880110543590316,-0.02347087356438915
2025-12-26,-0.11155931556516863,-0.019173987978703066
2025-12-29,-0.0969645856681669,-0.012865272213601342
2025-12-30,-0.10802497950266021,-0.017122982327003045
2025-12-31,-0.11105674043111546,-0.022620779510650113
2026-01-01,-0.12856129458291954,-0.03259810684009712
2026-01-02,-0.13503783271235836,-0.03546182791546859
2026-01-05,-0.14488167623292791,-0.03555274246901485
2026-01-06,-0.14930146227503027,-0.040835447564745775
2026-01-07,-0.14833278143969886,-0.037305380130497
2026-01-08,-0.15000533334992694,-0.036494317176787305
2026-01-09,-0.15688275327466938,-0.04635786666790198
2026-01-12,-0.14943034185275827,-0.05805291715888117
2026-01-13,-0.16795040133193007,-0.06026353701954967
2026-01-14,-0.15079642923135717,-0.05118747918801281
2026-01-15,-0.14396986281953283,-0.04658954208298993
2026-01-16,-0.15952588326218553,-0.0486580544048808
2026-01-19,-0.1575756375488897,-0.04873912505374611
2026-01-20,-0.14284794902707487,-0.03839182577836342
